idItem,name,genero_nominal,anyo_numerical,pais_nominal,director_nominal
2798,"Problem Child (1990)","Comedy",1990,"USA","Dennis Dugan"
2799,"Problem Child 2 (1991)","Comedy",1991,"USA","Brian Levant"
2800,"Little Nemo: Adventures in Slumberland (1989)","Family",1989,"Japan","Masami Hata"
2801,"Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997)","Drama",1997,"USA","Gillian Armstrong"
2802,"Tequila Sunrise (1988)","Action",1988,"USA","Robert Towne"
2803,"Pelican Brief, The (1993)","Crime",1993,"USA","Alan J. Pakula"
2804,"Christmas Story, A (1983)","Comedy",1983,"USA","Bob Clark"
2805,"Mickey Blue Eyes (1999)","Comedy",1999,"UK","Kelly Makin"
2806,"Teaching Mrs. Tingle (1999)","Comedy",1999,"USA","Kevin Williamson"
2807,"Universal Soldier: The Return (1999)","Action",1999,"USA","Mic Rodgers"
2808,"Universal Soldier (1992)","Action",1992,"USA","Roland Emmerich"
2809,"Love Stinks (1999)","Comedy",1999,"USA","Jeff Franklin"
2810,"Perfect Blue (1997)","Animation",1997,"Japan","Satoshi Kon"
2811,"With Friends Like These... (1998)","Comedy",1998,"USA","Philip Frank Messina"
2812,"In Too Deep (1999)","Crime",1999,"USA","Michael Rymer"
2813,"Source, The (1999)","Documentary",1999,"USA","Chuck Workman"
2814,"Bat, The (1959)","Horror",1959,"USA","Crane Wilbur"
2815,"Iron Eagle (1986)","Action",1986,"USA","Sidney J. Furie"
2816,"Iron Eagle II (1988)","Action",1988,"Canada","Sidney J. Furie"
2817,"Aces: Iron Eagle III (1992)","Action",1992,"UK","John Glen"
2818,"Iron Eagle IV (1995)","Action",1995,"Canada","Sidney J. Furie"
2819,"3 Days of the Condor (a.k.a. Three Days of the Condor) (1975)","Drama",1975,"USA","Sydney Pollack"
2820,"Hamlet (1964)","Drama",1964,"Soviet Union","Grigori Kozintsev"
2821,"Male and Female (1919)","Adventure",1919,"USA","Cecil B. DeMille"
2822,"Medicine Man (1992)","Adventure",1992,"USA","John McTiernan"
2823,"Spiders Part 1: The Golden Lake, The (Die Spinnen, 1. Teil: Der Goldene See) (1919)","Adventure",1919,"Germany","Fritz Lang"
2824,"On the Ropes (1999)","Documentary",1999,"USA","Nanette Burstein"
2825,"Rosie (1998)","Drama",1998,"France","Patrice Toye"
2826,"13th Warrior, The (1999)","Action",1999,"USA","John McTiernan"
2828,"Dudley Do-Right (1999)","Comedy",1999,"USA","Hugh Wilson"
2829,"Muse, The (1999)","Comedy",1999,"USA","Albert Brooks"
2830,"Cabaret Balkan (Bure Baruta) (1998)","Drama",1998,"Yugoslavia","Goran Paskaljevic"
2831,"Dog of Flanders, A (1999)","Family",1999,"USA","Kevin Brodie"
2832,"Lost Son, The (1999)","Crime",1999,"France","Chris Menges"
2833,"Lucie Aubrac (1997)","Biography",1997,"France","Claude Berri"
2834,"Very Thought of You, The (1998)","Comedy",1998,"UK","Nick Hamm"
2835,"Chill Factor (1999)","Action",1999,"USA","Hugh Johnson"
2836,"Outside Providence (1999)","Comedy",1999,"USA","Michael Corrente"
2837,"Bedrooms & Hallways (1998)","Comedy",1998,"UK","Rose Troche"
2838,"I Woke Up Early the Day I Died (1998)","Comedy",1998,"USA","Aris Iliopulos"
2839,"West Beirut (West Beyrouth) (1998)","Drama",1998,"France","Ziad Doueiri"
2840,"Stigmata (1999)","Horror",1999,"USA","Rupert Wainwright"
2841,"Stir of Echoes (1999)","Thriller",1999,"USA","David Koepp"
2842,"Best Laid Plans (1999)","Crime",1999,"USA","Mike Barker"
2843,"Black Cat, White Cat (Crna macka, beli macor) (1998)","Comedy",1998,"France","Emir Kusturica"
2844,"Minus Man, The (1999)","Crime",1999,"USA","Hampton Fancher"
2845,"Whiteboyz (1999)","Drama",1999,"France","Marc Levin"
2846,"Adventures of Milo and Otis, The (Koneko monogatari) (1986)","Adventure",1986,"Japan","Masanori Hata"
2847,"Only Angels Have Wings (1939)","Drama",1939,"USA","Howard Hawks"
2848,"Othello (1952)","Drama",1952,"USA","Orson Welles"
2849,"Queens Logic (1991)","Comedy",1991,"USA","Steve Rash"
2850,"Public Access (1993)","Drama",1993,"USA","Bryan Singer"
2851,"Saturn 3 (1980)","Adventure",1980,"UK","Stanley Donen"
2855,"Nightmares (1983)","Horror",1983,"USA","Joseph Sargent"
2856,"I Saw What You Did (1965)","Horror",1965,"USA","William Castle"
2857,"Yellow Submarine (1968)","Animation",1968,"UK","George Dunning"
2858,"American Beauty (1999)","Drama",1999,"USA","Sam Mendes"
2859,"Stop Making Sense (1984)","Documentary",1984,"USA","Jonathan Demme"
2860,"Blue Streak (1999)","Action",1999,"USA","Les Mayfield"
2861,"For Love of the Game (1999)","Drama",1999,"USA","Sam Raimi"
2862,"Caligula (1979)","Adult",1979,"Italy","Tinto Brass"
2864,"Splendor (1999)","Comedy",1999,"UK","Gregg Araki"
2865,"Sugar Town (1999)","Comedy",1999,"UK","Allison Anders"
2866,"Buddy Holly Story, The (1978)","Biography",1978,"USA","Steve Rash"
2867,"Fright Night (1985)","Comedy",1985,"USA","Tom Holland"
2868,"Fright Night Part II (1989)","Horror",1989,"USA","Tommy Lee Wallace"
2869,"Separation, The (La S?â?®paration) (1994)","Drama",1994,"France","Christian Vincent"
2870,"Barefoot in the Park (1967)","Comedy",1967,"USA","Gene Saks"
2871,"Deliverance (1972)","Adventure",1972,"USA","John Boorman"
2872,"Excalibur (1981)","Adventure",1981,"USA","John Boorman"
2873,"Lulu on the Bridge (1998)","Drama",1998,"USA","Paul Auster"
2874,"Pajama Game, The (1957)","Comedy",1957,"USA","George Abbott"
2875,"Sommersby (1993)","Drama",1993,"France","Jon Amiel"
2876,"Thumbelina (1994)","Animation",1994,"Ireland","Don Bluth"
2877,"Tommy (1975)","Drama",1975,"UK","Ken Russell"
2878,"Hell Night (1981)","Horror",1981,"USA","Tom DeSimone"
2879,"Operation Condor (Armour of God II: Operation Condor) (Fei ying gai wak) (1991)","Action",1991,"Hong Kong","Jackie Chan"
2880,"Operation Condor 2 (Armour of God) (Long xiong hu di) (1987)","Action",1987,"Yugoslavia","Jackie Chan"
2881,"Double Jeopardy (1999)","Crime",1999,"Germany","Bruce Beresford"
2882,"Jakob the Liar (1999)","Comedy",1999,"France","Peter Kassovitz"
2883,"Mumford (1999)","Comedy",1999,"USA","Lawrence Kasdan"
2884,"Dog Park (1998)","Comedy",1998,"Canada","Bruce McCulloch"
2885,"Guinevere (1999)","Drama",1999,"USA","Audrey Wells"
2886,"Adventures of Elmo in Grouchland, The (1999)","Adventure",1999,"USA","Gary Halvorson"
2887,"Simon Sez (1999)","Action",1999,"Germany","Kevin Elders"
2888,"Drive Me Crazy (1999)","Comedy",1999,"USA","John Schultz"
2889,"Mystery, Alaska (1999)","Comedy",1999,"Canada","Jay Roach"
2890,"Three Kings (1999)","Action",1999,"USA","David O. Russell"
2891,"Happy, Texas (1999)","Comedy",1999,"USA","Mark Illsley"
2892,"New Rose Hotel (1998)","Drama",1998,"USA","Abel Ferrara"
2893,"Plunkett & MaCleane (1999)","Action",1999,"UK","Jake Scott"
2894,"Romance (1999)","Adult",1999,"France","Catherine Breillat"
2895,"Napoleon and Samantha (1972)","Family",1972,"USA","Bernard McEveety"
2896,"Alvarez Kelly (1966)","Western",1966,"USA","Edward Dmytryk"
2897,"And the Ship Sails On (E la nave va) (1983)","Comedy",1983,"Italy","Federico Fellini"
2898,"Dark Half, The (1993)","Horror",1993,"USA","George A. Romero"
2900,"Monkey Shines (1988)","Drama",1988,"USA","George A. Romero"
2901,"Phantasm (1979)","Fantasy",1979,"USA","Don Coscarelli"
2902,"Psycho II (1983)","Horror",1983,"USA","Richard Franklin"
2903,"Psycho III (1986)","Horror",1986,"USA","Anthony Perkins"
2904,"Rain (1932)","Drama",1932,"USA","Lewis Milestone"
2905,"Sanjuro (Tsubaki Sanj?â??r?â??) (1962)","Action",1962,"Japan","Akira Kurosawa"
2906,"Random Hearts (1999)","Drama",1999,"USA","Sydney Pollack"
2907,"Superstar (1999)","Comedy",1999,"USA","Bruce McCulloch"
2909,"Five Wives, Three Secretaries and Me (1998)","Comedy",1998,"USA","Tessa Blake"
2911,"Grandfather, The (El Abuelo) (1998)","Drama",1998,"Spain","Jos&#xE9; Luis Garci"
2912,"Limey, The (1999)","Crime",1999,"USA","Steven Soderbergh"
2913,"Mating Habits of the Earthbound Human, The (1999)","Comedy",1999,"USA","Jeff Abugov"
2914,"Molly (1999)","Comedy",1999,"USA","John Duigan"
2915,"Risky Business (1983)","Comedy",1983,"USA","Paul Brickman"
2916,"Total Recall (1990)","Action",1990,"USA","Paul Verhoeven"
2917,"Body Heat (1981)","Crime",1981,"USA","Lawrence Kasdan"
2919,"Year of Living Dangerously, The (1982)","Drama",1982,"Australia","Peter Weir"
2920,"Children of Paradise (Les enfants du paradis) (1945)","Drama",1945,"France","Marcel Carn&#xE9;"
2921,"High Plains Drifter (1973)","Thriller",1973,"USA","Clint Eastwood"
2924,"Drunken Master (Jui kuen) (1978)","Comedy",1978,"Hong Kong","Woo-ping Yuen"
2925,"Conformist, The (Il Conformista) (1970)","Drama",1970,"Italy","Bernardo Bertolucci"
2926,"Hairspray (1988)","Comedy",1988,"USA","John Waters"
2927,"Brief Encounter (1946)","Romance",1946,"UK","David Lean"
2929,"Reds (1981)","Biography",1981,"USA","Warren Beatty"
2930,"Return with Honor (1998)","Documentary",1998,"USA","Freida Lee Mock"
2931,"Time of the Gypsies (Dom za vesanje) (1989)","Comedy",1989,"UK","Emir Kusturica"
2932,"Days of Heaven (1978)","Drama",1978,"USA","Terrence Malick"
2933,"Fire Within, The (Le Feu Follet) (1963)","Drama",1963,"France","Louis Malle"
2935,"Lady Eve, The (1941)","Comedy",1941,"USA","Preston Sturges"
2937,"Palm Beach Story, The (1942)","Romance",1942,"USA","Preston Sturges"
2938,"Man Facing Southeast (Hombre mirando al sudeste) (1986)","Drama",1986,"Argentina","Eliseo Subiela"
2939,"Niagara (1953)","Drama",1953,"USA","Henry Hathaway"
2940,"Gilda (1946)","Drama",1946,"USA","Charles Vidor"
2941,"South Pacific (1958)","Musical",1958,"USA","Joshua Logan"
2942,"Flashdance (1983)","Drama",1983,"USA","Adrian Lyne"
2943,"Indochine (1992)","Drama",1992,"France","R&#xE9;gis Wargnier"
2944,"Dirty Dozen, The (1967)","Action",1967,"UK","Robert Aldrich"
2946,"Help! (1965)","Comedy",1965,"UK","Richard Lester"
2947,"Goldfinger (1964)","Action",1964,"UK","Guy Hamilton"
2948,"From Russia with Love (1963)","Action",1963,"UK","Terence Young"
2949,"Dr. No (1962)","Action",1962,"UK","Terence Young"
2950,"Blue Lagoon, The (1980)","Adventure",1980,"USA","Randal Kleiser"
2951,"Fistful of Dollars, A (Per un pugno di dollari) (1964)","Action",1964,"Italy","Sergio Leone"
2952,"Sydney (Hard Eight) (1996)","Crime",1996,"USA","Paul Thomas Anderson"
2953,"Home Alone 2: Lost in New York (1992)","Adventure",1992,"USA","Chris Columbus"
2954,"Penitentiary (1979)","Drama",1979,"USA","Jamaa Fanaka"
2955,"Penitentiary II (1982)","Drama",1982,"USA","Jamaa Fanaka"
2956,"Someone to Watch Over Me (1987)","Action",1987,"USA","Ridley Scott"
2957,"Sparrows (1926)","Drama",1926,"USA","William Beaudine"
2958,"Naturally Native (1998)","Drama",1998,"USA","Jennifer Wynne Farmer"
2959,"Fight Club (1999)","Drama",1999,"USA","David Fincher"
2960,"Beefcake (1999)","Drama",1999,"Canada","Thom Fitzgerald"
2961,"Story of Us, The (1999)","Drama",1999,"USA","Rob Reiner"
2962,"Fever Pitch (1997)","Comedy",1997,"UK","David Evans"
2963,"Joe the King (1999)","Crime",1999,"USA","Frank Whaley"
2964,"Julien Donkey-Boy (1999)","Drama",1999,"USA","Harmony Korine"
2965,"Omega Code, The (1999)","Adventure",1999,"USA","Robert Marcarelli"
2966,"Straight Story, The (1999)","Adventure",1999,"France","David Lynch"
2967,"Bad Seed, The (1956)","Drama",1956,"USA","Mervyn LeRoy"
2968,"Time Bandits (1981)","Adventure",1981,"UK","Terry Gilliam"
2969,"Man and a Woman, A (Un Homme et une Femme) (1966)","Drama",1966,"France","Claude Lelouch"
2970,"Fitzcarraldo (1982)","Adventure",1982,"Peru","Werner Herzog"
2971,"All That Jazz (1979)","Drama",1979,"USA","Bob Fosse"
2973,"Crimes and Misdemeanors (1989)","Comedy",1989,"USA","Woody Allen"
2974,"Bats (1999)","Thriller",1999,"USA","Louis Morneau"
2975,"Best Man, The (1999)","Comedy",1999,"USA","Malcolm D. Lee"
2976,"Bringing Out the Dead (1999)","Drama",1999,"USA","Martin Scorsese"
2977,"Crazy in Alabama (1999)","Drama",1999,"USA","Antonio Banderas"
2978,"Three to Tango (1999)","Comedy",1999,"Australia","Damon Santostefano"
2979,"Body Shots (1999)","Drama",1999,"USA","Michael Cristofer"
2980,"Men Cry Bullets (1997)","Comedy",1997,"USA","Tamara Hernandez"
2981,"Brother, Can You Spare a Dime? (1975)","Documentary",1975,"UK","Philippe Mora"
2982,"Guardian, The (1990)","Drama",1990,"USA","William Friedkin"
2983,"Ipcress File, The (1965)","Mystery",1965,"UK","Sidney J. Furie"
2984,"On Any Sunday (1971)","Documentary",1971,"USA","Bruce Brown"
2985,"RoboCop (1987)","Action",1987,"USA","Paul Verhoeven"
2986,"RoboCop 2 (1990)","Action",1990,"USA","Irvin Kershner"
2987,"Who Framed Roger Rabbit? (1988)","Animation",1988,"USA","Robert Zemeckis"
2988,"Melvin and Howard (1980)","Comedy",1980,"USA","Jonathan Demme"
2989,"For Your Eyes Only (1981)","Action",1981,"UK","John Glen"
2990,"Licence to Kill (1989)","Action",1989,"UK","John Glen"
2991,"Live and Let Die (1973)","Action",1973,"UK","Guy Hamilton"
2992,"Rawhead Rex (1986)","Horror",1986,"UK","George Pavlou"
2993,"Thunderball (1965)","Action",1965,"UK","Terence Young"
2994,"City, The (La Ciudad) (1998)","Comedy",1998,"USA","Michael Patrick King"
2995,"House on Haunted Hill (1999)","Horror",1999,"USA","William Malone"
2996,"Music of the Heart (1999)","Drama",1999,"USA","Wes Craven"
2997,"Being John Malkovich (1999)","Comedy",1999,"USA","Spike Jonze"
2998,"Dreaming of Joseph Lees (1999)","Romance",1999,"USA","Eric Styles"
2999,"Man of the Century (1999)","Comedy",1999,"USA","Adam Abraham"
3000,"Princess Mononoke (Mononoke-hime) (1997)","Animation",1997,"Japan","Hayao Miyazaki"
3001,"Suburbans, The (1999)","Comedy",1999,"USA","Donal Lardner Ward"
3002,"My Best Fiend (Mein liebster Feind) (1999)","Documentary",1999,"UK","Werner Herzog"
3003,"Train of Life (Train De Vie) (1998)","Romance",1998,"France","Radu Mihaileanu"
3004,"Bachelor, The (1999)","Romance",1999,"USA","Gary Sinyor"
3005,"Bone Collector, The (1999)","Crime",1999,"USA","Phillip Noyce"
3006,"Insider, The (1999)","Biography",1999,"USA","Michael Mann"
3007,"American Movie: The Making of Northwestern (1999)","Documentary",1999,"USA","Chris Smith"
3008,"Last Night (1998)","Drama",1998,"Canada","Don McKellar"
3009,"Portraits Chinois (1996)","Comedy",1996,"UK","Martine Dugowson"
3010,"Rosetta (1999)","Drama",1999,"France","Jean-Pierre Dardenne"
3012,"Battling Butler (1926)","Comedy",1926,"USA","Buster Keaton"
3013,"Bride of Re-Animator (1990)","Comedy",1990,"USA","Brian Yuzna"
3015,"Coma (1978)","Thriller",1978,"USA","Michael Crichton"
3016,"Creepshow (1982)","Animation",1982,"USA","George A. Romero"
3017,"Creepshow 2 (1987)","Comedy",1987,"USA","Michael Gornick"
3018,"Re-Animator (1985)","Comedy",1985,"USA","Stuart Gordon"
3019,"Drugstore Cowboy (1989)","Crime",1989,"USA","Gus Van Sant"
3020,"Falling Down (1993)","Crime",1993,"France","Joel Schumacher"
3021,"Funhouse, The (1981)","Horror",1981,"USA","Tobe Hooper"
3022,"General, The (1927)","Comedy",1927,"USA","Clyde Bruckman"
3023,"My Best Girl (1927)","Comedy",1927,"USA","Sam Taylor"
3024,"Piranha (1978)","Comedy",1978,"USA","Joe Dante"
3025,"Rough Night in Jericho (1967)","Romance",1967,"USA","Arnold Laven"
3026,"Slaughterhouse (1987)","Comedy",1987,"USA","Rick Roessler"
3027,"Slaughterhouse 2 (1988)","Horror",1988,"USA","Dimitri Logothetis"
3028,"Taming of the Shrew, The (1967)","Comedy",1967,"Italy","Franco Zeffirelli"
3029,"Nighthawks (1981)","Action",1981,"USA","Bruce Malmuth"
3030,"Yojimbo (1961)","Action",1961,"Japan","Akira Kurosawa"
3031,"Repossessed (1990)","Comedy",1990,"USA","Bob Logan"
3032,"Omega Man, The (1971)","Action",1971,"USA","Boris Sagal"
3033,"Spaceballs (1987)","Adventure",1987,"USA","Mel Brooks"
3034,"Robin Hood (1973)","Animation",1973,"USA","Wolfgang Reitherman"
3035,"Mister Roberts (1955)","Comedy",1955,"USA","John Ford"
3036,"Quest for Fire (Guerre du feu, La) (1981)","Adventure",1981,"Canada","Jean-Jacques Annaud"
3037,"Little Big Man (1970)","Adventure",1970,"USA","Arthur Penn"
3038,"Face in the Crowd, A (1957)","Drama",1957,"USA","Elia Kazan"
3039,"Trading Places (1983)","Comedy",1983,"USA","John Landis"
3040,"Meatballs (1979)","Comedy",1979,"Canada","Ivan Reitman"
3041,"Meatballs Part II (1984)","Comedy",1984,"USA","Ken Wiederhorn"
3042,"Meatballs III (1987)","Comedy",1987,"Canada","George Mendeluk"
3043,"Meatballs 4 (1992)","Comedy",1992,"USA","Bob Logan"
3044,"Dead Again (1991)","Drama",1991,"USA","Kenneth Branagh"
3046,"Incredibly True Adventure of Two Girls in Love, The (1995)","Comedy",1995,"USA","Maria Maggenti"
3047,"Experience Preferred... But Not Essential (1982)","Drama",1982,"UK","Peter Duffell"
3048,"Under the Rainbow (1981)","Comedy",1981,"USA","Steve Rash"
3049,"How I Won the War (1967)","Comedy",1967,"UK","Richard Lester"
3050,"Light It Up (1999)","Drama",1999,"USA","Craig Bolotin"
3051,"Anywhere But Here (1999)","Comedy",1999,"USA","Wayne Wang"
3052,"Dogma (1999)","Adventure",1999,"USA","Kevin Smith"
3053,"Messenger: The Story of Joan of Arc, The (1999)","Biography",1999,"France","Luc Besson"
3054,"Pok?â?®mon: The First Movie (1998)","Animation",1998,"USA","Michael Haigney"
3056,"Oxygen (1999)","Crime",1999,"USA","Richard Shepard"
3058,"Ape, The (1940)","Drama",1940,"USA","William Nigh"
3059,"British Intelligence (1940)","Romance",1940,"USA","Terry O. Morse"
3060,"Commitments, The (1991)","Comedy",1991,"Ireland","Alan Parker"
3061,"Holiday Inn (1942)","Comedy",1942,"USA","Mark Sandrich"
3062,"Longest Day, The (1962)","Action",1962,"USA","Ken Annakin"
3063,"Poison Ivy (1992)","Drama",1992,"USA","Katt Shea"
3064,"Poison Ivy: New Seduction (1997)","Drama",1997,"USA","Kurt Voss"
3066,"Tora! Tora! Tora! (1970)","Action",1970,"USA","Richard Fleischer"
3067,"Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988)","Comedy",1988,"Spain","Pedro Almod&#xF3;var"
3068,"Verdict, The (1982)","Drama",1982,"USA","Sidney Lumet"
3069,"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)","Drama",1972,"USA","Paul Newman"
3070,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)","Adventure",1984,"USA","W.D. Richter"
3071,"Stand and Deliver (1988)","Drama",1988,"USA","Ram&#xF3;n Men&#xE9;ndez"
3072,"Moonstruck (1987)","Comedy",1987,"USA","Norman Jewison"
3073,"Sandpiper, The (1965)","Drama",1965,"USA","Vincente Minnelli"
3074,"Jeremiah Johnson (1972)","Drama",1972,"USA","Sydney Pollack"
3075,"Repulsion (1965)","Drama",1965,"UK","Roman Polanski"
3076,"Irma la Douce (1963)","Comedy",1963,"USA","Billy Wilder"
3077,"42 Up (1998)","Documentary",1998,"UK","Michael Apted"
3078,"Liberty Heights (1999)","Drama",1999,"USA","Barry Levinson"
3079,"Mansfield Park (1999)","Comedy",1999,"UK","Patricia Rozema"
3081,"Sleepy Hollow (1999)","Fantasy",1999,"USA","Tim Burton"
3082,"World Is Not Enough, The (1999)","Action",1999,"UK","Michael Apted"
3083,"All About My Mother (Todo sobre mi madre) (1999)","Drama",1999,"Spain","Pedro Almod&#xF3;var"
3084,"Home Page (1999)","Documentary",1999,"Germany","Doug Block"
3085,"Living Dead Girl, The (La Morte Vivante) (1982)","Horror",1982,"France","Jean Rollin"
3087,"Scrooged (1988)","Comedy",1988,"USA","Richard Donner"
3088,"Harvey (1950)","Comedy",1950,"USA","Henry Koster"
3089,"Bicycle Thief, The (Ladri di biciclette) (1948)","Crime",1948,"Italy","Vittorio De Sica"
3090,"Matewan (1987)","Drama",1987,"USA","John Sayles"
3091,"Kagemusha (1980)","Drama",1980,"Japan","Akira Kurosawa"
3092,"Chushingura (1962)","Action",1962,"Japan","Hiroshi Inagaki"
3093,"McCabe & Mrs. Miller (1971)","Drama",1971,"USA","Robert Altman"
3094,"Maurice (1987)","Drama",1987,"UK","James Ivory"
3095,"Grapes of Wrath, The (1940)","Drama",1940,"USA","John Ford"
3096,"My Man Godfrey (1957)","Comedy",1957,"USA","Henry Koster"
3097,"Shop Around the Corner, The (1940)","Comedy",1940,"USA","Ernst Lubitsch"
3098,"Natural, The (1984)","Drama",1984,"USA","Barry Levinson"
3099,"Shampoo (1975)","Drama",1975,"USA","Hal Ashby"
3100,"River Runs Through It, A (1992)","Drama",1992,"USA","Robert Redford"
3101,"Fatal Attraction (1987)","Drama",1987,"USA","Adrian Lyne"
3102,"Jagged Edge (1985)","Crime",1985,"USA","Richard Marquand"
3103,"Stanley & Iris (1990)","Drama",1990,"USA","Martin Ritt"
3104,"Midnight Run (1988)","Action",1988,"USA","Martin Brest"
3105,"Awakenings (1990)","Drama",1990,"USA","Penny Marshall"
3106,"Come See the Paradise (1990)","Drama",1990,"USA","Alan Parker"
3107,"Backdraft (1991)","Action",1991,"USA","Ron Howard"
3108,"Fisher King, The (1991)","Comedy",1991,"USA","Terry Gilliam"
3110,"Country (1984)","Drama",1984,"USA","Richard Pearce"
3111,"Places in the Heart (1984)","Drama",1984,"USA","Robert Benton"
3113,"End of Days (1999)","Action",1999,"USA","Peter Hyams"
3114,"Toy Story 2 (1999)","Animation",1999,"USA","John Lasseter"
3115,"Flawless (1999)","Comedy",1999,"USA","Joel Schumacher"
3116,"Miss Julie (1999)","Drama",1999,"USA","Mike Figgis"
3117,"Ride with the Devil (1999)","Drama",1999,"USA","Ang Lee"
3118,"Tumbleweeds (1999)","Drama",1999,"USA","Gavin O&#x27;Connor"
3120,"Distinguished Gentleman, The (1992)","Comedy",1992,"USA","Jonathan Lynn"
3121,"Hitch-Hiker, The (1953)","Drama",1953,"USA","Ida Lupino"
3122,"Santa Fe Trail (1940)","Action",1940,"USA","Michael Curtiz"
3123,"Lauderdale (a.k.a. Spring Break USA) (a.k.a. Spring Fever USA) (1989)","Comedy",1989,"USA","Bill Milling"
3124,"Agnes Browne (1999)","Comedy",1999,"USA","Anjelica Huston"
3125,"End of the Affair, The (1999)","Drama",1999,"UK","Neil Jordan"
3126,"End of the Affair, The (1955)","Drama",1955,"UK","Edward Dmytryk"
3127,"Holy Smoke (1999)","Drama",1999,"USA","Jane Campion"
3128,"Map of the World, A (1999)","Drama",1999,"USA","Scott Elliott"
3129,"Sweet and Lowdown (1999)","Comedy",1999,"USA","Woody Allen"
3130,"Bonfire of the Vanities (1990)","Comedy",1990,"USA","Brian De Palma"
3131,"Broadway Damage (1997)","Comedy",1997,"USA","Victor Mignatti"
3132,"Daddy Long Legs (1919)","Comedy",1919,"USA","Marshall Neilan"
3133,"Go West (1925)","Comedy",1925,"USA","Buster Keaton"
3134,"Grand Illusion (Grande illusion, La) (1937)","Drama",1937,"France","Jean Renoir"
3135,"Great Santini, The (1979)","Drama",1979,"USA","Lewis John Carlino"
3136,"James Dean Story, The (1957)","Documentary",1957,"USA","Robert Altman"
3137,"Sea Wolves, The (1980)","Action",1980,"Switzerland","Andrew V. McLaglen"
3138,"Stealing Home (1988)","Drama",1988,"USA","Steven Kampmann"
3139,"Tarzan the Fearless (1933)","Action",1933,"USA","Robert F. Hill"
3140,"Three Ages, The (1923)","Comedy",1923,"USA","Edward F. Cline"
3141,"Two Jakes, The (1990)","Comedy",1990,"USA","Jack Nicholson"
3142,"U2: Rattle and Hum (1988)","Documentary",1988,"USA","Phil Joanou"
3143,"Hell in the Pacific (1968)","Drama",1968,"USA","John Boorman"
3144,"Glass Bottom Boat, The (1966)","Comedy",1966,"USA","Frank Tashlin"
3145,"Cradle Will Rock (1999)","Drama",1999,"USA","Tim Robbins"
3146,"Deuce Bigalow: Male Gigolo (1999)","Comedy",1999,"USA","Mike Mitchell"
3147,"Green Mile, The (1999)","Crime",1999,"USA","Frank Darabont"
3148,"Cider House Rules, The (1999)","Drama",1999,"USA","Lasse Hallstr&#xF6;m"
3149,"Diamonds (1999)","Comedy",1999,"Germany","John Mallory Asher"
3150,"War Zone, The (1999)","Drama",1999,"Italy","Tim Roth"
3151,"Bat Whispers, The (1930)","Crime",1930,"USA","Roland West"
3152,"Last Picture Show, The (1971)","Drama",1971,"USA","Peter Bogdanovich"
3153,"7th Voyage of Sinbad, The (1958)","Family",1958,"USA","Nathan Juran"
3154,"Blood on the Sun (1945)","Action",1945,"USA","Frank Lloyd"
3155,"Anna and the King (1999)","Comedy",1999,"USA","Andy Tennant"
3156,"Bicentennial Man (1999)","Drama",1999,"USA","Chris Columbus"
3157,"Stuart Little (1999)","Adventure",1999,"Germany","Rob Minkoff"
3158,"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)","Drama",1999,"China","Kaige Chen"
3159,"Fantasia 2000 (1999)","Animation",1999,"USA","James Algar"
3160,"Magnolia (1999)","Drama",1999,"USA","Paul Thomas Anderson"
3161,"Onegin (1999)","Drama",1999,"UK","Martha Fiennes"
3162,"Simpatico (1999)","Drama",1999,"UK","Matthew Warchus"
3163,"Topsy-Turvy (1999)","Biography",1999,"UK","Mike Leigh"
3164,"Alley Cats, The (1966)","Drama",1966,"USA","Radley Metzger"
3165,"Boiling Point (1993)","Action",1993,"USA","James B. Harris"
3166,"Brenda Starr (1989)","Adventure",1989,"USA","Robert Ellis Miller"
3167,"Carnal Knowledge (1971)","Drama",1971,"USA","Mike Nichols"
3168,"Easy Rider (1969)","Crime",1969,"USA","Dennis Hopper"
3169,"Falcon and the Snowman, The (1985)","Drama",1985,"UK","John Schlesinger"
3170,"Hi-Yo Silver (1940)","Western",1940,"USA","William Witney"
3171,"Room at the Top (1959)","Drama",1959,"UK","Jack Clayton"
3172,"Ulysses (Ulisse) (1954)","Adventure",1954,"Italy","Mario Camerini"
3173,"Any Given Sunday (1999)","Drama",1999,"USA","Oliver Stone"
3174,"Man on the Moon (1999)","Biography",1999,"UK","Milos Forman"
3175,"Galaxy Quest (1999)","Action",1999,"USA","Dean Parisot"
3176,"Talented Mr. Ripley, The (1999)","Crime",1999,"USA","Anthony Minghella"
3177,"Next Friday (2000)","Comedy",2000,"USA","Steve Carr"
3178,"Hurricane, The (1999)","Biography",1999,"USA","Norman Jewison"
3180,"Play it to the Bone (1999)","Comedy",1999,"USA","Ron Shelton"
3181,"Titus (1999)","Drama",1999,"Italy","Julie Taymor"
3182,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)","Documentary",1999,"UK","Errol Morris"
3183,"Third Miracle, The (1999)","Drama",1999,"USA","Agnieszka Holland"
3184,"Montana (1998)","Action",1998,"USA","Jennifer Leitzes"
3185,"Snow Falling on Cedars (1999)","Drama",1999,"USA","Scott Hicks"
